isrc,upc,track_title,artist,label,home_market,dsp,territory,reporting_period,streams,revenue_usd,currency,transaction_id
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,KE,2024-Q3,193350,135.345,USD,a9b594a3-e7a0-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,FR,2024-Q3,208457,1083.9764,USD,bd52c36b-d457-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,AE,2024-Q3,173980,800.308,USD,febcfa1d-142e-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,ZA,2024-Q3,73834,206.7352,USD,407ec16f-f7a8-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,EG,2024-Q3,86930,60.851,USD,4ea2e7e0-ecf3-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,NG,2024-Q3,1034471,103.44714,USD,6239b048-cb85-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GB,2024-Q3,600419,660.4613400000001,USD,b4e1da74-ae5d-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,US,2024-Q3,268121,321.7452,USD,71d0ce35-adbb-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GH,2024-Q3,178222,17.8222,USD,8094568a-1c5e-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,KE,2024-Q3,141030,14.103,USD,e0bb2225-a535-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,FR,2024-Q3,141152,127.0368,USD,7373619a-7581-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,AE,2024-Q3,131365,105.092,USD,79764c3a-cc2b-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,ZA,2024-Q3,62688,25.0752,USD,a8310932-8f75-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,EG,2024-Q3,65187,6.5187,USD,165e8f9c-6dc1-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,NG,2024-Q3,405610,40.56108,USD,a3ef79c3-2b22-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GB,2024-Q3,265996,26.59965,USD,cf52ee05-4e08-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,US,2024-Q3,90324,9.0324,USD,47d5295e-95b4-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GH,2024-Q3,70152,7.0152,USD,3cc5de49-d879-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,KE,2024-Q3,61670,6.167,USD,3905f2f3-f59b-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,FR,2024-Q3,59229,5.9229,USD,1027e3ff-8e1a-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,AE,2024-Q3,49635,4.9635,USD,e1fa9349-dcfa-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,ZA,2024-Q3,23501,4.7002,USD,c67f7c37-98df-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,EG,2024-Q3,24090,2.409,USD,9b7378eb-e17d-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,NG,2024-Q3,227059,68.11776,USD,52fc0e83-7ec0-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GB,2024-Q3,138799,416.3985,USD,a5862c75-f13e-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,US,2024-Q3,50562,15.1686,USD,ec65b60f-3c8c-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GH,2024-Q3,39188,11.7564,USD,0004902c-cb89-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,KE,2024-Q3,31747,9.5241,USD,de482032-4881-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,FR,2024-Q3,32969,92.3132,USD,39a57f4a-5d24-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,AE,2024-Q3,28349,8.5047,USD,038261a6-287f-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,ZA,2024-Q3,13427,17.4551,USD,93a18a1f-1f14-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,EG,2024-Q3,13442,4.0326,USD,ca2ad744-d14f-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,NG,2024-Q4,2649455,1059.78216,USD,339da823-f6b9-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GB,2024-Q4,1513932,5752.9416,USD,bb23831e-fa38-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,US,2024-Q4,572377,2289.508,USD,8d0cefbe-e1fb-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GH,2024-Q4,392481,78.4962,USD,877909db-165f-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,KE,2024-Q4,366138,146.4552,USD,33a28e5b-37da-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,FR,2024-Q4,326526,979.578,USD,5b59cdcf-03ba-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,AE,2024-Q4,273323,710.6398,USD,a66c5790-6125-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,ZA,2024-Q4,153748,230.622,USD,e76eec3e-9778-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,EG,2024-Q4,143958,57.5832,USD,e18bb3bf-8052-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,NG,2024-Q4,1120473,784.3311,USD,feb3cf58-d8e9-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GB,2024-Q4,696784,4529.0973,USD,607c7342-51eb-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,US,2024-Q4,262120,1834.84,USD,441c2ffd-c73d-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GH,2024-Q4,176210,70.484,USD,2fd797db-37b1-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,KE,2024-Q4,140726,98.5082,USD,e20cc099-9d55-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,FR,2024-Q4,149524,777.5248,USD,94424126-6938-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,AE,2024-Q4,118434,544.7964,USD,9a4c2e85-4d87-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,ZA,2024-Q4,58512,163.8336,USD,3178c9b0-92cf-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,EG,2024-Q4,67603,47.3221,USD,9f250b0a-744c-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,NG,2024-Q4,795070,79.50702,USD,3a33ac06-7998-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GB,2024-Q4,513739,565.1137800000001,USD,37529fbc-c7bb-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,US,2024-Q4,185848,223.0176,USD,4f87fd13-c8f7-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GH,2024-Q4,154160,15.416,USD,8b4ba77e-e99c-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,KE,2024-Q4,117655,11.7655,USD,94a4945d-c0a2-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,FR,2024-Q4,113052,101.7468,USD,6b099f26-ee53-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,AE,2024-Q4,90095,72.076,USD,59c3420b-359f-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,ZA,2024-Q4,48034,19.2136,USD,625ff53c-740a-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,EG,2024-Q4,45200,4.52,USD,0c1f633e-15f9-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,NG,2024-Q4,319544,31.95444,USD,c53da1bd-795b-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GB,2024-Q4,175022,17.50224,USD,ec73ac98-6c10-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,US,2024-Q4,64224,6.4224,USD,937858cb-fa3e-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GH,2024-Q4,56111,5.6111,USD,b68e1653-c744-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,KE,2024-Q4,42608,4.2608,USD,6047e094-4622-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,FR,2024-Q4,39048,3.9048,USD,99909a0e-83a7-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,AE,2024-Q4,30940,3.094,USD,9f1f4fc4-a9d3-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,ZA,2024-Q4,15683,3.1366,USD,422a9f38-3961-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,EG,2024-Q4,17444,1.7444,USD,cf358f1d-c2f5-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,NG,2024-Q4,200619,60.18588,USD,ffdb15ec-7018-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GB,2024-Q4,112242,336.72870000000006,USD,c9dc4945-aa6f-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,US,2024-Q4,45739,13.7217,USD,8506510c-bbda-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GH,2024-Q4,38623,11.5869,USD,82586db4-02b2-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,KE,2024-Q4,29451,8.8353,USD,f4588c0a-b85a-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,FR,2024-Q4,32039,89.7092,USD,6fbe2bff-4110-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,AE,2024-Q4,25114,7.5342,USD,4ca28fb8-0479-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,ZA,2024-Q4,10567,13.7371,USD,4a5e023d-1663-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,EG,2024-Q4,12229,3.6687,USD,b867529b-1800-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,NG,2025-Q1,2274406,909.76248,USD,d962fed5-f33d-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GB,2025-Q1,1480208,5624.79078,USD,3d48180a-b867-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,US,2025-Q1,505820,2023.28,USD,b977a4e4-34b9-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GH,2025-Q1,405954,81.1908,USD,26a3426d-8d6c-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,KE,2025-Q1,339595,135.838,USD,1ede8918-39db-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,FR,2025-Q1,373878,1121.634,USD,fea163c9-aea7-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,AE,2025-Q1,294826,766.5476,USD,0653bba0-49ff-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,ZA,2025-Q1,130618,195.927,USD,4cca3d9e-dbd3-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,EG,2025-Q1,137123,54.8492,USD,b168ee7f-98bf-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,NG,2025-Q1,1030340,721.2382799999999,USD,36cfc805-65a1-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GB,2025-Q1,616919,4009.974150000001,USD,595c05ce-f741-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,US,2025-Q1,209982,1469.874,USD,9da4fe9e-7203-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GH,2025-Q1,168662,67.4648,USD,ece9c7d6-f3c6-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,KE,2025-Q1,139732,97.8124,USD,9c784afb-ba00-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,FR,2025-Q1,127256,661.7312,USD,bae92833-6695-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,AE,2025-Q1,115145,529.667,USD,b80d06b2-c66e-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,ZA,2025-Q1,55131,154.3668,USD,a6765434-3995-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,EG,2025-Q1,57748,40.4236,USD,9df8a949-5c90-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,NG,2025-Q1,660033,66.0033,USD,dadc8f97-4c83-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GB,2025-Q1,426932,469.62531,USD,e944b171-b6ec-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,US,2025-Q1,152369,182.8428,USD,f9e02c7d-5862-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GH,2025-Q1,137277,13.7277,USD,a8d7f9ad-b553-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,KE,2025-Q1,113336,11.3336,USD,f8fbd177-0f47-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,FR,2025-Q1,112344,101.1096,USD,beaefdf2-e91c-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,AE,2025-Q1,81039,64.8312,USD,b2f4fa6a-61dd-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,ZA,2025-Q1,38416,15.3664,USD,822dbce1-3ca9-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,EG,2025-Q1,45328,4.5328,USD,127d1cee-59cb-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,NG,2025-Q1,268920,26.892,USD,ef03b5e4-2e23-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GB,2025-Q1,176446,17.644620000000003,USD,b2c9b0ea-436c-4c
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,US,2025-Q1,61599,6.1599,USD,00dc41af-d2f3-41
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GH,2025-Q1,53189,5.3189,USD,df3c4aec-0454-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,KE,2025-Q1,44369,4.4369,USD,64512a9e-5ac2-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,FR,2025-Q1,38998,3.8998,USD,fb308bbd-84a2-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,AE,2025-Q1,33536,3.3536,USD,d99178ae-0d07-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,ZA,2025-Q1,17019,3.4038,USD,6caf3912-2f7b-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,EG,2025-Q1,16059,1.6059,USD,cccff20e-2649-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,NG,2025-Q1,190332,57.09978,USD,20eabb12-732b-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GB,2025-Q1,109924,329.7735,USD,97478956-8ed6-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,US,2025-Q1,44787,13.4361,USD,e523c3d5-a255-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,GH,2025-Q1,34860,10.458,USD,6e3d7258-676f-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,KE,2025-Q1,26113,7.8339,USD,95a63856-1fdb-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,FR,2025-Q1,26727,74.8356,USD,8b405062-1a2b-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,AE,2025-Q1,24419,7.3257,USD,dc574abe-e76f-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,ZA,2025-Q1,11442,14.8746,USD,1a309b7e-265b-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Deezer,EG,2025-Q1,10971,3.2913,USD,75795673-ab4c-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,NG,2025-Q2,1692000,676.8,USD,6a0e118d-5c5b-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GB,2025-Q2,1045537,3973.0425,USD,b6a32a20-6104-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,US,2025-Q2,418900,1675.6,USD,0aa40d33-2bcf-48
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,GH,2025-Q2,292058,58.4116,USD,4450d290-c964-47
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,KE,2025-Q2,242872,97.1488,USD,6aa221d7-e02e-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,FR,2025-Q2,235194,705.582,USD,e0342e59-5c6d-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,AE,2025-Q2,211211,549.1486,USD,d2ba0c77-914c-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,ZA,2025-Q2,97328,145.992,USD,fbe0cf79-53e5-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Spotify,EG,2025-Q2,111251,44.5004,USD,0dd1f3da-2f14-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,NG,2025-Q2,779665,545.7660599999999,USD,a7cc575c-7563-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GB,2025-Q2,487691,3169.9941000000003,USD,7b5e5a5d-5454-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,US,2025-Q2,202687,1418.809,USD,b3f6b482-0c06-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,GH,2025-Q2,138641,55.4564,USD,971eb58c-efe9-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,KE,2025-Q2,113527,79.4689,USD,5b36d1c4-c521-49
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,FR,2025-Q2,133211,692.6972,USD,7ced3d11-aaeb-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,AE,2025-Q2,99423,457.3458,USD,b47a3c1c-5e73-4d
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,ZA,2025-Q2,48747,136.4916,USD,79805184-c3a2-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Apple Music,EG,2025-Q2,51805,36.2635,USD,6c8d0e69-f274-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,NG,2025-Q2,577270,57.72702,USD,7afb6131-288b-4b
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GB,2025-Q2,341409,375.55056,USD,1affc10b-395b-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,US,2025-Q2,139514,167.4168,USD,32cce1ca-e282-45
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,GH,2025-Q2,104477,10.4477,USD,96362380-38ef-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,KE,2025-Q2,87832,8.7832,USD,7af1e763-0afd-40
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,FR,2025-Q2,92466,83.2194,USD,2f26ab58-230f-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,AE,2025-Q2,73185,58.548,USD,f13c7219-9c1a-44
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,ZA,2025-Q2,38790,15.516,USD,43ea80ec-8a92-42
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,YouTube Music,EG,2025-Q2,32525,3.2525,USD,b6f5889f-793c-43
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,NG,2025-Q2,209557,20.95578,USD,a632e666-0269-46
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GB,2025-Q2,140105,14.01057,USD,1cc45610-9de1-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,US,2025-Q2,47271,4.7271,USD,6f0377f8-f939-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,GH,2025-Q2,35017,3.5017,USD,22e20fa9-bdf9-4e
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,KE,2025-Q2,30789,3.0789,USD,819077cd-231e-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,FR,2025-Q2,30622,3.0622,USD,e3187ba9-5cd1-4a
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,AE,2025-Q2,23784,2.3784,USD,e51d3abc-ac02-4f
NG001,UN001,Calm Down Remix,Rema & Selena Gomez,Mavin/Interscope,NG,Boomplay,ZA,2025-Q2,11820,2.364,USD,ed020f90-36ee-43
